id,created_at,Store_No,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Provider,Status,Country,mc_location_id
10758,2026-07-17T18:14:32.770Z,440-104,"Aldi, Chicago",41.89,-87.63,"30 W Huron St, Chicago, IL, 60654",30 W Huron St,Chicago,IL,60654,,,ALDI,active,USA,1314063
11150,2026-07-17T18:14:34.070Z,440-107,"Aldi, Forest Park",41.88240688,-87.80515053,"215 Harlem Ave, Forest Park, IL, 60130",215 Harlem Ave,Forest Park,IL,60130,,,ALDI,active,USA,1312537
11772,2026-07-17T18:14:35.558Z,441-001,"Aldi, Marion",37.742,-88.9412,"1305 North Russell Street, Marion, IL, 62959",1305 North Russell Street,Marion,IL,62959,,,ALDI,active,USA,1312611
12871,2026-07-17T18:14:37.179Z,441-002,"Aldi, West Plains",36.7432,-91.8703,"1210 Missouri Ave, West Plains, MO, 65775",1210 Missouri Ave,West Plains,MO,65775,,,ALDI,active,USA,1313533
11112,2026-07-17T18:14:33.514Z,441-003,"Aldi, Farmington",37.7939,-90.4386,"787 Maple Valley Center, Farmington, MO, 63640",787 Maple Valley Center,Farmington,MO,63640,,,ALDI,active,USA,1312920
11121,2026-07-17T18:14:33.514Z,441-004,"Aldi, Fenton",38.5113,-90.4429,"60 Fenton Plaza, Fenton, MO, 63026",60 Fenton Plaza,Fenton,MO,63026,,,ALDI,active,USA,1313530
12806,2026-07-17T18:14:37.179Z,441-005,"Aldi, Washington",38.535746,-90.980145,"3142 Phoenix Center Dr, Washington, MO, 63090",3142 Phoenix Center Dr,Washington,MO,63090,,,ALDI,active,USA,1313535
10490,2026-07-17T18:14:31.811Z,441-006,"Aldi, Bellefontaine Neighbors",38.7691,-90.2209,"10800 Bellefontaine Road, Bellefontaine Neighbors, MO, 63137",10800 Bellefontaine Road,Bellefontaine Neighbors,MO,63137,,,ALDI,active,USA,1314338
11599,2026-07-17T18:14:35.092Z,441-007,"Aldi, Lake Saint Louis",38.7664,-90.7811,"464 Hawk Ridge Trail, Lake Saint Louis, MO, 63367",464 Hawk Ridge Trail,Lake Saint Louis,MO,63367,,,ALDI,active,USA,1313107
11489,2026-07-17T18:14:34.665Z,441-008,"Aldi, Jacksonville",39.7228,-90.2254,"329 East Morton, Jacksonville, IL, 62650",329 East Morton,Jacksonville,IL,62650,,,ALDI,active,USA,1312628
12654,2026-07-17T18:14:36.877Z,441-009,"Aldi, Swansea",38.5326,-89.9845,"1708 North Illinois, Swansea, IL, 62226",1708 North Illinois,Swansea,IL,62226,,,ALDI,active,USA,1312576
10413,2026-07-17T18:14:31.811Z,441-010,"Aldi, Arnold",38.4396,-90.3797,"2154 Michigan Avenue, Arnold, MO, 63010",2154 Michigan Avenue,Arnold,MO,63010,,,ALDI,active,USA,1312917
10912,2026-07-17T18:14:32.770Z,441-011,"Aldi, Crystal City",38.2262,-90.385,"700 South Truman Blvd, Crystal City, MO, 63019",700 South Truman Blvd,Crystal City,MO,63019,,,ALDI,active,USA,1312938
11061,2026-07-17T18:14:33.514Z,441-012,"Aldi, Ellisville",38.594309,-90.587417,"15907 Manchester Road, Ellisville, MO, 63011",15907 Manchester Road,Ellisville,MO,63011,,,ALDI,active,USA,1312947
11102,2026-07-17T18:14:33.514Z,441-013,"Aldi, Fairview Heights",38.586258,-89.987556,"5925 N Illinois St, Fairview Heights, IL, 62208",5925 N Illinois St,Fairview Heights,IL,62208,,,ALDI,active,USA,1314428
12077,2026-07-17T18:14:35.837Z,441-014,"Aldi, O Fallon",38.5919,-89.9342,"1635 West Us Highway 50, O Fallon, IL, 62269",1635 West Us Highway 50,O Fallon,IL,62269,,,ALDI,active,USA,1312709
11549,2026-07-17T18:14:35.092Z,441-015,"Aldi, Keokuk",40.4212,-91.4095,"3379 Main Street, Keokuk, IA, 52632",3379 Main Street,Keokuk,IA,52632,,,ALDI,active,USA,1312549
12643,2026-07-17T18:14:36.877Z,441-016,"Aldi, Sullivan",38.2208,-91.1584,"320 Park Ridge Road, Sullivan, MO, 63080",320 Park Ridge Road,Sullivan,MO,63080,,,ALDI,active,USA,1312933
12676,2026-07-17T18:14:36.877Z,441-017,"Aldi, Taylorville",39.5655,-89.3105,"1303 West Burnett Dr, Taylorville, IL, 62568",1303 West Burnett Dr,Taylorville,IL,62568,,,ALDI,active,USA,1312538
12754,2026-07-17T18:14:37.179Z,441-018,"Aldi, Vandalia",38.9758,-89.101,"1500 North Eighth Street, Vandalia, IL, 62471",1500 North Eighth Street,Vandalia,IL,62471,,,ALDI,active,USA,1312609
12444,2026-07-17T18:14:36.487Z,441-019,"Aldi, Saint Louis",38.5728,-90.2821,"6601 Gravois Ave, Saint Louis, MO, 63116",6601 Gravois Ave,Saint Louis,MO,63116,,,ALDI,active,USA,1313527
11341,2026-07-17T18:14:34.665Z,441-020,"Aldi, Hannibal",39.7224,-91.3948,"4419 Mcmasters Avenue, Hannibal, MO, 63401",4419 Mcmasters Avenue,Hannibal,MO,63401,,,ALDI,active,USA,1313528
10453,2026-07-17T18:14:31.811Z,441-021,"Aldi, Ballwin",38.5912,-90.531,"14654 Manchester, Ballwin, MO, 63011",14654 Manchester,Ballwin,MO,63011,,,ALDI,active,USA,1312929
10377,2026-07-17T18:14:31.811Z,441-022,"Aldi, Alton",38.9156,-90.1454,"2822 Homer Adams Parkway, Alton, IL, 62002",2822 Homer Adams Parkway,Alton,IL,62002,,,ALDI,active,USA,1312568
12078,2026-07-17T18:14:35.837Z,441-023,"Aldi, O Fallon",38.8008,-90.6988,"8615 Veteran's Memorial Dr, O Fallon, MO, 63366",8615 Veteran's Memorial Dr,O Fallon,MO,63366,,,ALDI,active,USA,1312943
12842,2026-07-17T18:14:37.179Z,441-024,"Aldi, Wentzville",38.812007,-90.875564,"150 Crossroads South Dr, Wentzville, MO, 63385",150 Crossroads South Dr,Wentzville,MO,63385,,,ALDI,active,USA,1313521
10700,2026-07-17T18:14:32.256Z,441-025,"Aldi, Centralia",38.5332,-89.1471,"300 Aaron Parkway, Centralia, IL, 62801",300 Aaron Parkway,Centralia,IL,62801,,,ALDI,active,USA,1312712
12442,2026-07-17T18:14:36.487Z,441-026,"Aldi, Saint Louis",38.5349,-90.2871,"1033 Lemay Ferry, Saint Louis, MO, 63125",1033 Lemay Ferry,Saint Louis,MO,63125,,,ALDI,active,USA,1312937
11278,2026-07-17T18:14:34.070Z,441-027,"Aldi, Granite City",38.749335,-90.124619,"1412 Schaeffer Road, Granite City, IL, 62040",1412 Schaeffer Road,Granite City,IL,62040,,,ALDI,active,USA,1312575
12321,2026-07-17T18:14:36.171Z,441-028,"Aldi, Quincy",39.9358,-91.3596,"3511 Broadway, Quincy, IL, 62301",3511 Broadway,Quincy,IL,62301,,,ALDI,active,USA,1312657
10907,2026-07-17T18:14:32.770Z,441-029,"Aldi, Creve Coeur",38.6708,-90.4423,"11745 Olive Blvd, Creve Coeur, MO, 63141",11745 Olive Blvd,Creve Coeur,MO,63141,,,ALDI,active,USA,1312946
12433,2026-07-17T18:14:36.487Z,441-030,"Aldi, Saint Charles",38.7723,-90.4956,"1335 Bass Pro Drive, Saint Charles, MO, 63301",1335 Bass Pro Drive,Saint Charles,MO,63301,,,ALDI,active,USA,1312924
12628,2026-07-17T18:14:36.877Z,441-031,"Aldi, St. Peters",38.7911,-90.6258,"343 MId Rivers Mall Dr, St Peters, MO, 63376",343 MId Rivers Mall Dr,St Peters,MO,63376,,,ALDI,active,USA,1314340
11140,2026-07-17T18:14:34.070Z,441-032,"Aldi, Florissant",38.8046,-90.3075,"2505 North Highway 67, Florissant, MO, 63033",2505 North Highway 67,Florissant,MO,63033,,,ALDI,active,USA,1312931
10635,2026-07-17T18:14:32.256Z,441-033,"Aldi, Cahokia",38.5601,-90.1715,"1233 Camp Jackson Road, Cahokia, IL, 62206",1233 Camp Jackson Road,Cahokia,IL,62206,,,ALDI,active,USA,1314054
12281,2026-07-17T18:14:36.171Z,441-034,"Aldi, Poplar Bluff",36.7625,-90.4117,"601 North Westwood, Poplar Bluff, MO, 63901",601 North Westwood,Poplar Bluff,MO,63901,,,ALDI,active,USA,1312915
12717,2026-07-17T18:14:36.877Z,441-035,"Aldi, Troy",38.977681,-90.984754,"6 The Plaza, Troy, MO, 63379",6 The Plaza,Troy,MO,63379,,,ALDI,active,USA,1313534
12572,2026-07-17T18:14:36.877Z,441-036,"Aldi, Sparta",38.1383,-89.7035,"1250 N Market St, Sparta, IL, 62286",1250 N Market St,Sparta,IL,62286,,,ALDI,active,USA,1314056
11139,2026-07-17T18:14:34.070Z,441-037,"Aldi, Florissant",38.7736,-90.2799,"11296 W Florissant, Florissant, MO, 63033",11296 W Florissant,Florissant,MO,63033,,,ALDI,active,USA,1312948
10576,2026-07-17T18:14:32.256Z,441-038,"Aldi, Bridgeton",38.7507,-90.4288,"12290 St Charles Rock Road, Bridgeton, MO, 63044",12290 St Charles Rock Road,Bridgeton,MO,63044,,,ALDI,active,USA,1312934
11124,2026-07-17T18:14:33.514Z,441-039,"Aldi, Ferguson",38.7422,-90.303,"21 Adams Avenue, Ferguson, MO, 63135",21 Adams Avenue,Ferguson,MO,63135,,,ALDI,active,USA,1314166
10667,2026-07-17T18:14:32.256Z,441-040,"Aldi, Carbondale",37.7315,-89.1922,"1232 East Main, Carbondale, IL, 62901",1232 East Main,Carbondale,IL,62901,,,ALDI,active,USA,1314431
10989,2026-07-17T18:14:33.514Z,441-041,"Aldi, Des Peres",38.6039,-90.4387,"12145 Manchester Rd, Des Peres, MO, 63131",12145 Manchester Rd,Des Peres,MO,63131,,,ALDI,active,USA,1313477
